SettingID;SampleID;Sample;prep_number;process_tool;taxonomy
VU26;VU26_MOCK_A;MOCK_A;PREP13;vsearch;assigntaxonomy
VU26;VU26_MOCK_B;MOCK_B;PREP13;vsearch;assigntaxonomy
VU26;VU26_MOCK_C;MOCK_C;PREP13;vsearch;assigntaxonomy
VU27;VU27_MOCK_A;MOCK_A;PREP13;vsearch;sintax
VU27;VU27_MOCK_B;MOCK_B;PREP13;vsearch;sintax
VU27;VU27_MOCK_C;MOCK_C;PREP13;vsearch;sintax
VU28;VU28_MOCK_A;MOCK_A;PREP13;vsearch;qiime_taxonomy
VU28;VU28_MOCK_B;MOCK_B;PREP13;vsearch;qiime_taxonomy
VU28;VU28_MOCK_C;MOCK_C;PREP13;vsearch;qiime_taxonomy
VU29;VU29_MOCK_A;MOCK_A;PREP14;vsearch;idtaxa
VU29;VU29_MOCK_B;MOCK_B;PREP14;vsearch;idtaxa
VU29;VU29_MOCK_C;MOCK_C;PREP14;vsearch;idtaxa
VU3;VU3_MOCK_A;MOCK_A;PREP7;vsearch;sintax
VU3;VU3_MOCK_B;MOCK_B;PREP7;vsearch;sintax
VU3;VU3_MOCK_C;MOCK_C;PREP7;vsearch;sintax
VU30;VU30_MOCK_A;MOCK_A;PREP14;vsearch;assigntaxonomy
VU30;VU30_MOCK_B;MOCK_B;PREP14;vsearch;assigntaxonomy
VU30;VU30_MOCK_C;MOCK_C;PREP14;vsearch;assigntaxonomy
VU31;VU31_MOCK_A;MOCK_A;PREP14;vsearch;sintax
VU31;VU31_MOCK_B;MOCK_B;PREP14;vsearch;sintax
VU31;VU31_MOCK_C;MOCK_C;PREP14;vsearch;sintax
VU32;VU32_MOCK_A;MOCK_A;PREP14;vsearch;qiime_taxonomy
VU32;VU32_MOCK_B;MOCK_B;PREP14;vsearch;qiime_taxonomy
VU32;VU32_MOCK_C;MOCK_C;PREP14;vsearch;qiime_taxonomy
VU4;VU4_MOCK_A;MOCK_A;PREP7;vsearch;qiime_taxonomy
VU4;VU4_MOCK_B;MOCK_B;PREP7;vsearch;qiime_taxonomy
VU4;VU4_MOCK_C;MOCK_C;PREP7;vsearch;qiime_taxonomy
VU5;VU5_MOCK_A;MOCK_A;PREP8;vsearch;idtaxa
VU5;VU5_MOCK_B;MOCK_B;PREP8;vsearch;idtaxa
VU5;VU5_MOCK_C;MOCK_C;PREP8;vsearch;idtaxa
VU6;VU6_MOCK_A;MOCK_A;PREP8;vsearch;assigntaxonomy
VU6;VU6_MOCK_B;MOCK_B;PREP8;vsearch;assigntaxonomy
VU6;VU6_MOCK_C;MOCK_C;PREP8;vsearch;assigntaxonomy
VU7;VU7_MOCK_A;MOCK_A;PREP8;vsearch;sintax
VU7;VU7_MOCK_B;MOCK_B;PREP8;vsearch;sintax
VU7;VU7_MOCK_C;MOCK_C;PREP8;vsearch;sintax
VU8;VU8_MOCK_A;MOCK_A;PREP8;vsearch;qiime_taxonomy
VU8;VU8_MOCK_B;MOCK_B;PREP8;vsearch;qiime_taxonomy
VU8;VU8_MOCK_C;MOCK_C;PREP8;vsearch;qiime_taxonomy
VU9;VU9_MOCK_A;MOCK_A;PREP9;vsearch;idtaxa
VU9;VU9_MOCK_B;MOCK_B;PREP9;vsearch;idtaxa
VU9;VU9_MOCK_C;MOCK_C;PREP9;vsearch;idtaxa
